Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2000-01-03 00:00:00-05:00,93.38877490297325,93.38877490297325,90.6327823889732,91.6170654296875,8164300,0.0,0.0,0.0
2000-01-04 00:00:00-05:00,90.41618907771512,90.7508451226359,87.96532568991292,88.03422546386719,8089800,0.0,0.0,0.0
2000-01-05 00:00:00-05:00,88.15238588196891,89.15635454654694,86.45941911424909,88.19175720214844,12177900,0.0,0.0,0.0
2000-01-06 00:00:00-05:00,87.95550760037237,89.13664691461193,86.77436828613283,86.77436828613281,6227200,0.0,0.0,0.0
2000-01-07 00:00:00-05:00,88.3885995069867,91.81390380859375,88.2311142517404,91.81390380859375,8066500,0.0,0.0,0.0
2000-01-10 00:00:00-05:00,92.12893676757812,92.54233584281727,91.36119562784832,92.12893676757812,5741700,0.0,0.0,0.0
2000-01-11 00:00:00-05:00,91.85326385828037,92.03043474870569,90.39652542589445,91.0264663696289,7503700,0.0,0.0,0.0
2000-01-12 00:00:00-05:00,91.08557694694683,91.08557694694683,90.00286531260879,90.12097930908203,6907700,0.0,0.0,0.0
2000-01-13 00:00:00-05:00,91.0067593574524,91.81387100219727,90.258704662323,91.34141540527344,5158300,0.0,0.0,0.0
2000-01-14 00:00:00-05:00,92.30608099439208,92.89665093037667,91.95173903280133,92.58168029785156,7437300,0.0,0.0,0.0
2000-01-18 00:00:00-05:00,91.55801706195543,92.36512923128248,91.45958874862285,91.85330200195312,6488500,0.0,0.0,0.0
2000-01-19 00:00:00-05:00,91.53833073012683,92.60135650634767,91.34147410490075,92.60135650634766,6157900,0.0,0.0,0.0
2000-01-20 00:00:00-05:00,92.58163381158172,92.58163381158172,90.59338269208997,91.18395233154297,5800100,0.0,0.0,0.0
2000-01-21 00:00:00-05:00,91.65647245743016,91.65647245743016,90.7509317072064,90.9871597290039,6244800,0.0,0.0,0.0
2000-01-24 00:00:00-05:00,91.75484879365663,91.872962737609,87.81771732857804,88.40828704833984,7896900,0.0,0.0,0.0
2000-01-25 00:00:00-05:00,88.51663246725897,89.4123306274414,87.56187728552605,89.4123306274414,9942500,0.0,0.0,0.0
2000-01-26 00:00:00-05:00,88.82167380341835,89.16617275988108,88.25078981842297,88.70355987548828,5158100,0.0,0.0,0.0
